"Perioden";"Regio's";"Bevolking aan het begin van de periode (aantal)"
"2011";"Nederland";"16655799"
"2012";"Nederland";"16730348"
"2013";"Nederland";"16779575"
"2014";"Nederland";"16829289"
"2015";"Nederland";"16900726"
"2016";"Nederland";"16979120"
"2017";"Nederland";"17081507"
"2018";"Nederland";"17181084"
"2019";"Nederland";"17282163"
"2020";"Nederland";"17407585"
"2021";"Nederland";"17475415"
"2022";"Nederland";"17590672"
"2023";"Nederland";"17811291"
"2011";"Aa en Hunze";"   25785"
"2012";"Aa en Hunze";"   25738"
"2013";"Aa en Hunze";"   25541"
"2014";"Aa en Hunze";"   25357"
"2015";"Aa en Hunze";"   25203"
"2016";"Aa en Hunze";"   25243"
"2017";"Aa en Hunze";"   25286"
"2018";"Aa en Hunze";"   25390"
"2019";"Aa en Hunze";"   25386"
"2020";"Aa en Hunze";"   25445"
"2021";"Aa en Hunze";"   25399"
"2022";"Aa en Hunze";"   25579"
"2023";"Aa en Hunze";"   25724"
"2011";"Aalburg";"   12685"
"2012";"Aalburg";"   12749"
"2013";"Aalburg";"   12774"
"2014";"Aalburg";"   12846"
"2015";"Aalburg";"   12922"
"2016";"Aalburg";"   13038"
"2017";"Aalburg";"   13067"
"2018";"Aalburg";"   13153"
"2019";"Aalburg";""
"2020";"Aalburg";""
"2021";"Aalburg";""
"2022";"Aalburg";""
"2023";"Aalburg";""
"2011";"Aalsmeer";"   30189"
"2012";"Aalsmeer";"   30364"
"2013";"Aalsmeer";"   30618"
"2014";"Aalsmeer";"   30759"
"2015";"Aalsmeer";"   31077"
"2016";"Aalsmeer";"   31299"
"2017";"Aalsmeer";"   31373"
"2018";"Aalsmeer";"   31499"
"2019";"Aalsmeer";"   31728"
"2020";"Aalsmeer";"   31859"
"2021";"Aalsmeer";"   31991"
"2022";"Aalsmeer";"   32452"
"2023";"Aalsmeer";"   33063"
"2011";"Aalten";"   27439"
"2012";"Aalten";"   27305"
"2013";"Aalten";"   27082"
"2014";"Aalten";"   27013"
"2015";"Aalten";"   26904"
"2016";"Aalten";"   26912"
"2017";"Aalten";"   27047"
"2018";"Aalten";"   26962"
"2019";"Aalten";"   27011"
"2020";"Aalten";"   27121"
"2021";"Aalten";"   27120"
"2022";"Aalten";"   27100"
"2023";"Aalten";"   27244"
"2011";"Ter Aar";""
"2012";"Ter Aar";""
"2013";"Ter Aar";""
"2014";"Ter Aar";""
"2015";"Ter Aar";""
"2016";"Ter Aar";""
"2017";"Ter Aar";""
"2018";"Ter Aar";""
"2019";"Ter Aar";""
"2020";"Ter Aar";""
"2021";"Ter Aar";""
"2022";"Ter Aar";""
"2023";"Ter Aar";""
"2011";"Abcoude";""
"2012";"Abcoude";""
"2013";"Abcoude";""
"2014";"Abcoude";""
"2015";"Abcoude";""
"2016";"Abcoude";""
"2017";"Abcoude";""
"2018";"Abcoude";""
"2019";"Abcoude";""
"2020";"Abcoude";""
"2021";"Abcoude";""
"2022";"Abcoude";""
"2023";"Abcoude";""
"2011";"Achtkarspelen";"   28123"
"2012";"Achtkarspelen";"   28091"
"2013";"Achtkarspelen";"   28110"
"2014";"Achtkarspelen";"   28016"
"2015";"Achtkarspelen";"   27983"
"2016";"Achtkarspelen";"   28007"
"2017";"Achtkarspelen";"   27893"
"2018";"Achtkarspelen";"   27935"
"2019";"Achtkarspelen";"   27852"
"2020";"Achtkarspelen";"   27843"
"2021";"Achtkarspelen";"   27900"
"2022";"Achtkarspelen";"   27954"
"2023";"Achtkarspelen";"   28149"
"2011";"Alblasserdam";"   19208"
"2012";"Alblasserdam";"   19467"
"2013";"Alblasserdam";"   19643"
"2014";"Alblasserdam";"   19801"
"2015";"Alblasserdam";"   19845"
"2016";"Alblasserdam";"   19955"
"2017";"Alblasserdam";"   20008"
"2018";"Alblasserdam";"   20014"
"2019";"Alblasserdam";"   20069"
"2020";"Alblasserdam";"   20165"
"2021";"Alblasserdam";"   20136"
"2022";"Alblasserdam";"   20087"
"2023";"Alblasserdam";"   20356"
"2011";"Albrandswaard";"   24674"
"2012";"Albrandswaard";"   25003"
"2013";"Albrandswaard";"   25101"
"2014";"Albrandswaard";"   25069"
"2015";"Albrandswaard";"   25148"
"2016";"Albrandswaard";"   24985"
"2017";"Albrandswaard";"   25105"
"2018";"Albrandswaard";"   25218"
"2019";"Albrandswaard";"   25271"
"2020";"Albrandswaard";"   25590"
"2021";"Albrandswaard";"   25814"
"2022";"Albrandswaard";"   25934"
"2023";"Albrandswaard";"   26357"
"2011";"Alkemade";""
"2012";"Alkemade";""
"2013";"Alkemade";""
"2014";"Alkemade";""
"2015";"Alkemade";""
"2016";"Alkemade";""
"2017";"Alkemade";""
"2018";"Alkemade";""
"2019";"Alkemade";""
"2020";"Alkemade";""
"2021";"Alkemade";""
"2022";"Alkemade";""
"2023";"Alkemade";""
"2011";"Alkmaar";"   93936"
"2012";"Alkmaar";"   94269"
"2013";"Alkmaar";"   94505"
"2014";"Alkmaar";"   94866"
"2015";"Alkmaar";"  107106"
"2016";"Alkmaar";"  107615"
"2017";"Alkmaar";"  108373"
"2018";"Alkmaar";"  108470"
"2019";"Alkmaar";"  108558"
"2020";"Alkmaar";"  109436"
"2021";"Alkmaar";"  109896"
"2022";"Alkmaar";"  110783"
"2023";"Alkmaar";"  111834"
"2011";"Almelo";"   72599"
"2012";"Almelo";"   72757"
"2013";"Almelo";"   72729"
"2014";"Almelo";"   72459"
"2015";"Almelo";"   72291"
"2016";"Almelo";"   72425"
"2017";"Almelo";"   72479"
"2018";"Almelo";"   72629"
"2019";"Almelo";"   72849"
"2020";"Almelo";"   73107"
"2021";"Almelo";"   73132"
"2022";"Almelo";"   73155"
"2023";"Almelo";"   73949"
"2011";"Almere";"  190655"
"2012";"Almere";"  193163"
"2013";"Almere";"  195213"
