Perioden;Regio's;Totale oppervlakte (ha);Agrarisch terrein/Totaal agrarisch terrein (ha)
2017;Aa en Hunze;27887;18749
2017;Altena;22500;15500
2017;Aalsmeer;3229;763
2017;Aalten;9705;8046
2017;Ter Aar;;
2017;Aarle-Rixtel;;
2017;Abcoude;;
2017;Achtkarspelen;10398;8516
2017;Akersloot;;
2017;Alblasserdam;1006;292
2017;Albrandswaard;2376;1091
2017;Alkemade;;
2017;Alkmaar;11735;7793
2017;Almelo;6941;3540
2017;Almere;24877;3241
2017;Alphen aan den Rijn;13250;9339
2017;Alphen en Riel;;
2017;Alphen-Chaam;9352;6551
2017;Ambt Delden;;
2017;Ambt Montfort;;
2017;Ameland;26850;1925
2017;Amerongen;;
2017;Amersfoort;6386;1937
2017;Ammerzoden;;
2017;Amstelveen;4408;1580
2017;Amsterdam;21949;2737
2017;Andijk;;
2017;Angerlo;;
2017;Anloo;;
2017;Anna Paulowna;;
2017;Apeldoorn;34115;8274
2017;Eemsdelta;35000;23000
2017;Arcen en Velden;;
2017;Arnemuiden;;
2017;Arnhem;10154;1572
2017;Assen;8345;3965
2017;Asten;7134;4588
2017;Avereest;;
2017;Axel;;
2017;Baarle-Nassau;7629;6281
2017;Baarn;3301;764
2017;Bakel en Milheeze;;
2017;Barendrecht;2173;347
2017;Barneveld;17666;9389
2017;Bathmen;;
2017;Bedum;4496;3899
2017;Beek (L.);2103;1304
2017;Beek en Donk;;
2017;Beemster;7207;6465
2017;Beesel;2915;1816
2017;Beilen;;
2017;Belfeld;;
2017;Bellingwedde;11009;9648
2017;Bemmel;;
2017;Bennebroek;;
2017;Berg en Dal;9331;4973
2017;Bergambacht;;
2017;Bergeijk;10175;6166
2017;Bergen (L.);10850;5517
2017;Bergen (NH.);12023;4180
2017;Bergen op Zoom;9313;3329
2017;Bergeyk;;
2017;Bergh;;
2017;Bergschenhoek;;
2017;Berkel en Rodenrijs;;
2017;Berkel-Enschot;;
2017;Berkelland;26053;21174
2017;Bernheze;9041;6565
2017;Bernisse;;
2017;Best;3510;1507
2017;Beuningen;4709;3044
2017;Beverwijk;2009;390
2017;het Bildt;11648;8254
2017;De Bilt;6713;3392
2017;Binnenmaas;7557;5336
2017;Bladel;7562;4214
2017;Bladel en Netersel;;
2017;Blaricum;1556;332
2017;Bleiswijk;;
2017;Bloemendaal;4523;422
2017;Boarnsterhim;;
2017;Bodegraven;;
2017;Bodegraven-Reeuwijk;8864;6289
2017;Boekel;3452;2892
2017;Ten Boer;4573;4083
2017;Bolsward;;
2017;Borculo;;
2017;Borger;;
2017;Borger-Odoorn;27789;21311
2017;Born;;
2017;Borne;2616;1608
2017;Borsele;19452;11664
2017;Boskoop;;
2017;Boxmeer;11384;8051
2017;Boxtel;6485;3534
2017;Brakel;;
2017;Breda;12868;5612
2017;Brederwiede;;
2017;Breukelen;;
2017;Brielle;3114;1878
2017;Broekhuizen;;
2017;Bronckhorst;28642;22667
2017;Brouwershaven;;
2017;Bruinisse;;
2017;Brummen;8501;5780
2017;Brunssum;1734;177
2017;Budel;;
